Phrase,Frequency
ku ma,9445
"kakini ,",6899
", oñ",3824
", i",3300
. tak,3297
"n ,",3252
. oñ,2775
"le̩ ,",2410
oñ i,2371
ñw u,1924
ku me̩,1911
", ma",1872
", kpai",1734
. taku,1715
ka ñw,1703
", kʼi",1524
", owñ",1499
ñwu ma,1478
n ;,1452
oñ ma,1439
le̩ .,1428
i la,1348
ma la,1282
ka ñwu,1249
; oñ,1228
", ku",1220
. i,1219
tak i,1153
; todu,1137
", todu",1114
"jihofa ,",935
"ma ,",913
", tak",901
oñ i,887
abo ku,883
", kʼe̩",868
; i,848
", o̩ma",840
", me̩",828
u kakini,827
ma kakini,822
tak i,800
. todu,797
du ki,788
"go ,",785
ñw e̩,779
i kakini,764
; tak,747
du ku,737
je̩ ñw,726
ñwu mi,712
"me̩ ,",710
ki jihofa,699
", kakini",698
", e̩",689
i la,675
ñwu me̩,674
le̩ ;,670
i ka,655
n ?,653
"du ,",649
. abe̩le̩,643
"de̩ ,",618
abo israe̩l,601
"te̩ ,",591
e̩wñ du,585
mʼu du,583
", i",581
ma ma,580
ge̩ .,576
ma che,572
", alu",567
du kʼi,567
. todule̩,566
", jihofa",563
e̩ne̩ ki,560
; ma,553
", me̩",553
ki la,551
ñw abo,547
ki ma,547
me̩ ki,541
abu ku,533
kʼi la,527
", o",524
taku ma,523
me̩ .,522
e̩ne̩ du,513
jihofa ka,507
abu kʼi,505
"che ,",500
", e̩ne̩",493
ma .,490
. ama,488
de̩ .,488
e̩wñ ki,486
"go ,",482
"wa ,",479
taku ma,471
", uwe̩",465
", u",458
kpai abo,456
ma ka,454
", e̩wñ",453
. ma,449
", omi",434
icham nyʼo̩gwo̩ko̩,425
amone̩ le̩,422
"ge̩ ,",419
", e̩",405
i che,402
. me̩,400
kʼi ma,398
kpai e̩wñ,396
", chai",395
e̩gba ku,393
e̩ ki,392
le̩ du,390
"mi ,",384
de̩ kakini,381
che .,380
", abu",379
e̩ ki,372
me̩ ;,371
", todabu",361
ñwu jihofa,359
du ñw,358
"chaka ,",357
", e̩ne̩",357
oñ abu,351
", uwe̩",350
alu ku,345
", o̩jo̩",344
me̩ la,344
le̩ de̩,340
ma du,339
jihofa ki,336
che e̩wñ,334
"israe̩l ,",333
", e̩gba",332
", e̩wñ",326
", omi",325
", onu",323
", mak",318
le̩ la,318
", abe̩k",318
la go,317
kʼe̩ la,317
; me̩,316
", go",315
te̩ .,306
abo uche̩ichi,306
la che̩wñ,306
me̩ ki,305
uwe̩ ki,303
"u ,",302
n. tak,302
ge̩ n,302
la che,297
taku jihofa,297
ef unyi,296
", ma",290
ñw a,285
tak e̩gba,285
kʼama ki,284
. e̩,284
oj ane̩,283
oñ ma,282
", todu",281
"o̩jo̩ ,",278
le̩ chaka,272
", abu",272
. e̩ne̩,272
nʼe̩wñ du,272
e̩gba kʼi,268
", abo",268
le̩ kakini,268
", gbogbo",268
ma ;,267
"kpa ,",267
ñw e̩ne̩,265
akwo̩ra unyi,265
ki bo̩,264
ñw ma,263
ma ko,260
amo̩ma israe̩l,260
i lewatu,260
e̩ne̩ ki,258
? oñ,258
alu ki,256
e̩ne̩ le̩,256
ma mʼu,255
ubo̩ iche̩bo̩,255
o jihofa,254
jihofa o̩jo̩-we̩,254
le̩ n,253
ñwu mose̩s,253
je̩ ñwu,251
ma je̩,250
? tak,250
i muda,247
", ama",246
gbogbo tak,245
i muda,243
ki nʼe̩wñ,242
", taku",242
", kʼu",241
tak u,241
i mʼu,241
ñw u.,241
ewo le̩,240
todu i,239
kʼi che,239
? i,238
"dufu ,",238
; ama,237
ku jihofa,236
ma ño̩,233
", ame̩",232
ki we,231
e̩wñ chi,231
i ño̩,231
", a",230
ñw mi,230
e̩ne̩ kʼi,230
du .,228
", ondu",228
le̩ ma,228
ma lewa,227
. amo̩ma,226
; e̩,224
u la,223
mi kakini,223
e̩wñ ku,222
; taku,222
ñw o̩jo̩,221
ge̩ ;,221
ma dodo,220
oñ u,220
ma la,220
", u",219
aje̩ ñw,219
wa .,218
jihofa .,218
israe̩l chaka,218
ane̩ le̩,216
ma jo̩,215
tak u,214
tak onu,212
. e̩wñ,211
unyi jihofa,209
ko wa,208
ma n,207
n. oñ,207
e̩ la,207
. abo,207
chaka .,206
aka de̩,205
", ugbo",205
ma li,205
"le ,",204
ñwa ñwu,203
"onu ,",203
. e̩gba,202
ka de̩,201
ache e̩wñ,201
uwe̩ ki,201
todu kʼi,201
. abu,200
. uwe̩,198
ugbo ku,198
kpa .,197
", go",197
ma ne̩,197
"li ,",196
ki de̩,196
"ta ,",195
mʼu ko,193
ki che,193
; e̩ne̩,193
le̩ ko,193
gbogbo wa,191
abu ki,191
ef e̩wñ,190
