Book,Chapter,Verse,Text
GEN,1,1,E̩gba abakwane̩ ejodudu O̩jo̩ nyi efojale kpai ane̩-ile̩.
GEN,1,2,"Ane̩-ile̩-i la de̩ juguu te̩ ofofo, oñ e̩chubi bʼeju o̩lulu le̩ ma; Afu O̩jo̩ la tʼeju omi ale bebebe."
GEN,1,3,"Oñ O̩jo̩ kakini, Ugane̩ ki do̩mo̩; tak ugane̩ do̩mo̩."
GEN,1,4,O̩jo̩ la fʼugane̩ le̩ li kʼi nyo̩; tak O̩jo̩ fʼugane̩ daru bʼe̩chubi te̩.
GEN,1,5,"O̩jo̩ la do̩ ugane̩ le̩ ko̩ o̩ro̩ka, e̩chubi i la do̩ ko̩ odu. Oñ ane̩ do̩mo̩, odudu la do̩mo̩, o̩jo̩ ejodudu."
GEN,1,6,"Tak O̩jo̩ kakini, Agbagba ki te̩ alumeji omi le̩, kʼi fʼomiofo daru bʼomiofo te̩."
GEN,1,7,"Oñ O̩jo̩ fʼagbagba che te̩, i la fʼomiofo e-ki dʼo̩gane̩ agbagba le̩ daru bʼomiofo e-ki dʼate̩ agbagba le̩ te̩. Abe̩le̩ i la de̩."
GEN,1,8,"Tak O̩jo̩ do̩ agbagba le̩ ko̩ efojale. Oñ ane̩ do̩mo̩, odudu la do̩mo̩, o̩jo̩ ekeji."
GEN,1,9,"Tak O̩jo̩ kakini, Omiofo o̩gane̩ efojale ki najeju jʼugbo okate ke, ane̩ e̩gbe̩ ki kwotejugede. Abe̩le̩ i la de̩."
GEN,1,10,"Oñ O̩jo̩ do̩ ane̩ e̩gbe̩ le̩ ko̩ ane̩-ile̩, ujeju omi i la do̩ ko̩ ohimini abadi. O̩jo̩ la li kʼi nyo̩."
GEN,1,11,"Tak O̩jo̩ kakini, Ane̩-ile̩-i ki lu ije̩, kpai eñmi kʼi aro ulu-wñ, kpai oli ki aro e̩go̩ uche̩ o̩la-wñ, e-kʼe̩yo̩-wñ dʼef uwñ, ane̩-ile̩. Abe̩le̩ i la de̩."
GEN,1,12,"Tak ane̩-ile̩ lu ije̩, owñ chʼeñmi ki aro ulu e̩go̩ uche̩ o̩la-wñ, kpai oli ki aro kʼe̩yo̩ dʼef e̩ro-wñ e̩go̩ uche̩ o̩la-wñ. O̩jo̩ la li kʼi nyo̩."
GEN,1,13,"Oñ ane̩ do̩mo̩, odudu la do̩mo̩, o̩jo̩ e̩ke̩ta."
GEN,1,14,"Tak O̩jo̩ kakini, E̩mu ki jʼagbagba efojale, ki fʼo̩ro̩ka daru bʼodu te̩, i ki la jʼo̩mo̩ todu ujiwe, kpai adiko o̩lo̩ji kpai uwo, kpai o̩jo̩ ki añwa kpai o̩do̩ o̩do̩,"
GEN,1,15,i ki jʼo̩mo̩ kʼi chʼe̩mu agbagba efojale kʼi mʼane̩ ne̩ ile̩-i. Abe̩le̩ i la de̩.
GEN,1,16,"Abe̩le̩ O̩jo̩ fʼe̩mu elile meji le̩ che, e̩mu e-ki tule ki nʼo̩da o̩ro̩ka, e̩mu e-ki nya ki nʼo̩da odu; kpai ilawo ge̩."
GEN,1,17,"O̩jo̩ la mʼu kojo̩ agbagba efojale kʼi mʼane̩ ne̩ ile̩-i,"
GEN,1,18,"kʼi ño̩ nʼo̩da o̩ro̩ka kpai odu, kʼi la fʼugane̩ daru bʼe̩chubi te̩: O̩jo̩ la li kʼi nyo̩."
GEN,1,19,"Oñ ane̩ do̩mo̩, odudu la do̩mo̩, o̩jo̩ e̩ke̩le̩."
GEN,1,20,"Tak O̩jo̩ kakini, Ef omi ki ko̩ ñw amonugo e̩wñ iñmi ke, ame̩we̩ ki nawu ate̩ ane̩-ile̩ ef agbagba ki che̩chi te̩ efojale."
GEN,1,21,"Abe̩le̩ O̩jo̩ nyi ame̩la lile ki jʼef omi, kpai onugo e̩wñ iñmi du ki achiche̩, e-ki che̩ko̩ ef omi, uche̩ uche̩-ma, kpai e̩we̩ du ki nʼika uche̩ uche̩-wñ: O̩jo̩ la li kʼi nyo̩."
